,created_at,text,user_loc,user_loc2,user_id,user_hist,hashtags
3436,Thu Jun 23 00:44:19 +0000 2016,How Brexit Will Affect Venezuela and the Rest of Latin America https://t.co/tkSCAp9fJJ,"Melbourne, Victoria",,3320192960,Wed Aug 19 14:57:17 +0000 2015,
3437,Thu Jun 23 00:44:20 +0000 2016,EU referendum: Everything you wanted to know about Brexit but were too afraid to ask https://t.co/XRb2BtSUIh #expertraders #forexcoaching …,Kuala Lumpur,,3069714055,Mon Mar 09 11:58:58 +0000 2015,expertraders;forexcoaching
3438,Thu Jun 23 00:44:20 +0000 2016,RT @NadineDorriesMP: There are some who believe that the British people aren't smart or worthy enough to enjoy full democracy. Don't let th…,,,3311641737,Sun Jun 07 09:26:34 +0000 2015,VoteLeave
3439,Thu Jun 23 00:44:20 +0000 2016,"RT @JesusFromMars: . @webradius @SpecGhost #Russia/n trolls have been hiding as #Brexit supporters for years in #UK #media &gt;
https://t.co/s…","Republic of Ireland, EU.",,18987108,Wed Jan 14 18:06:34 +0000 2009,Russia;Brexit;UK;media
3440,Thu Jun 23 00:44:20 +0000 2016,"#Brexit
Cultivating Markets needs more than just a tick-in-the-box for Diversity. You need to to incorporate customs &amp; cultures ...",Globopolis,,2950248243,Tue Dec 30 00:11:00 +0000 2014,Brexit
3441,Thu Jun 23 00:44:20 +0000 2016,"RT @StrongerUnited1: @gupta_james @Sheanderthal 
Well put
I'm not voting #Brexit cos I want to stop immigration,but cos I want to manage it…","LONDONIUM,UK",,387868253,Sun Oct 09 20:14:46 +0000 2011,Brexit
3442,Thu Jun 23 00:44:20 +0000 2016,"RT @Ron_Hutchcraft: @State_Control @bluehand007 Good Night, &amp; May God Bless England! 
#Brexit #VoteLeave 🙏","Texas, USA",,1620826579,Thu Jul 25 16:46:11 +0000 2013,Brexit;VoteLeave
3443,Thu Jun 23 00:44:20 +0000 2016,@NH92276 Brexit fun at the expense of Britain and the campaign contributors of course.,,,719972903131947008,Tue Apr 12 19:38:11 +0000 2016,
3444,Thu Jun 23 00:44:20 +0000 2016,"Cash talks for Brexit bookies, nevertheless it could possibly be mendacity https://t.co/liosCCR6AI https://t.co/1p3HuIUGm0",,,4291396768,Fri Nov 27 01:51:46 +0000 2015,
3445,Thu Jun 23 00:44:21 +0000 2016,"The #Brexit logic: if you leave your spouse, your ex will still cook all your meals, and you'll have more say over the menu. Good luck.",The Great Lakes,,117313502,Thu Feb 25 05:36:08 +0000 2010,Brexit
3446,Thu Jun 23 00:44:21 +0000 2016,Woken up by the loudest thunder I've ever heard. Clearly #Brexit went too far ⛈️,London,,19292774,Wed Jan 21 15:57:14 +0000 2009,Brexit
3447,Thu Jun 23 00:44:21 +0000 2016,"RT @theordinaryman2: The #EU #Asylum policy has no way of checking who is genuine &amp; who is a terrorist ?
#VoteLeave  #VoteRemain #InOrOut h…","Belfast, Northern Ireland",,2796707943,Tue Sep 30 23:43:25 +0000 2014,EU;Asylum;VoteLeave;VoteRemain;InOrOut
3448,Thu Jun 23 00:44:21 +0000 2016,"RT @INTJutsu: If the UK doesn't get out now, there won't be another chance, as their country will be overrun &amp; ruined #BREXIT #UK https://t…","Tx. Colombia, Europe",,2936329068,Fri Dec 19 19:13:57 +0000 2014,BREXIT;UK
3449,Thu Jun 23 00:44:21 +0000 2016,I hear France is leaving the Euro the weekend too #COYBIG #Brexit,,,272701151,Sun Mar 27 01:03:57 +0000 2011,COYBIG;Brexit
3450,Thu Jun 23 00:44:21 +0000 2016,RT @Callum_Siddall: Looks like it is time for my bed. Can't stress enough #VoteLeave #Brexit #TakeBackControl #RestoreDemocracy,,,2622794806,Thu Jun 19 11:25:35 +0000 2014,VoteLeave;Brexit;TakeBackControl;RestoreDemocracy
3451,Thu Jun 23 00:44:21 +0000 2016,"@realrobfriesen Don't #brexit , just #brelax ... https://t.co/dkb0YmSXhn",Earth (mostly),,24195601,Fri Mar 13 16:05:38 +0000 2009,brexit;brelax
3452,Thu Jun 23 00:44:22 +0000 2016,RT @HoustonWelder: I hope they vote #brexit - most global conflict will be ended with the globalists having less control of our fate and fi…,perth AU,,372559286,Tue Sep 13 00:22:37 +0000 2011,brexit
3453,Thu Jun 23 00:44:22 +0000 2016,RT @steveemmensUKIP: https://t.co/ZK2fMs9e04 We need control we need democracy we need freedom not serfdom! #VoteLeave #brexit #Independenc…,wickford,,1227616178,Thu Feb 28 14:00:08 +0000 2013,VoteLeave;brexit;IndependenceDay
3454,Thu Jun 23 00:44:22 +0000 2016,RT @VoteLeaveUKIP: The chairman of the IN campaign says wages will go UP if we #VoteLeave tomorrow #C4debate https://t.co/YspvTPHrAH,,,1436768347,Fri May 17 21:50:10 +0000 2013,VoteLeave;C4debate
3455,Thu Jun 23 00:44:22 +0000 2016,RT @chuckdevore: Hoping that our British cousins across the pond declare their independence 240 years after we declared ours. #Brexit,Stoke,,498605276,Tue Feb 21 07:06:25 +0000 2012,Brexit
3456,Thu Jun 23 00:44:23 +0000 2016,"RT @Ron_Hutchcraft: @bluehand007 Good Night, &amp; May God
Bless England! #Brexit #VoteLeave 🙏","Texas, USA",,1620826579,Thu Jul 25 16:46:11 +0000 2013,Brexit;VoteLeave
3457,Thu Jun 23 00:44:23 +0000 2016,The Clash weigh in on Brexit https://t.co/5xn6whzBoc,"hawaii, us",,19567302,Tue Jan 27 00:04:11 +0000 2009,
3458,Thu Jun 23 00:44:23 +0000 2016,"Debunking years of tabloid claims about Europe - THE Brexit campaign has been plagued by little white lies, hal... https://t.co/hWILPKK81L",Earth ,,1171278848,Tue Feb 12 08:04:12 +0000 2013,
